                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 0.9967,                0.62654,                 1.0436,                0.81226,                0.62493,                0.72792,                0.45814,                0.98442,                0.61924,                 1.0575,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.0106,                0.63057,                 1.0464,                0.78816,                0.64327,                0.73083,                0.46384,                0.97876,                 0.6078,                 1.0531,               0.000948,               0.000948,               0.000948
                     36,                 0.9988,                0.62356,                 1.0418,                 0.8008,                0.64276,                0.73812,                0.47079,                0.97012,                0.62794,                 1.0506,             0.00093385,             0.00093385,             0.00093385
                     37,                 0.9821,                0.61008,                 1.0337,                0.81106,                0.62989,                  0.738,                0.47118,                0.96258,                  0.607,                 1.0476,              0.0009197,              0.0009197,              0.0009197
                     38,                0.98974,                0.61714,                 1.0377,                0.81968,                0.65789,                0.75543,                0.48258,                0.95608,                0.58354,                 1.0454,             0.00090556,             0.00090556,             0.00090556
                     39,                0.97563,                0.60735,                 1.0352,                0.82356,                0.64486,                0.74917,                0.48066,                0.95577,                0.58506,                 1.0428,             0.00089141,             0.00089141,             0.00089141
                     40,                0.97977,                0.60274,                 1.0311,                0.84862,                0.66718,                0.76437,                0.48567,                0.95012,                0.60612,                 1.0413,             0.00087726,             0.00087726,             0.00087726
                     41,                0.97806,                0.60525,                 1.0294,                0.82555,                0.67052,                0.76179,                0.48645,                 0.9525,                0.59869,                 1.0428,             0.00086312,             0.00086312,             0.00086312
                     42,                0.96099,                0.59709,                 1.0246,                0.84707,                0.66675,                 0.7671,                0.48717,                0.93817,                0.57135,                 1.0337,             0.00084897,             0.00084897,             0.00084897
                     43,                0.96152,                0.59469,                 1.0248,                0.86292,                0.65827,                0.76859,                0.49459,                 0.9431,                0.58872,                 1.0354,             0.00083482,             0.00083482,             0.00083482
                     44,                0.96775,                0.59708,                 1.0272,                0.83207,                0.67214,                0.76715,                0.49209,                0.94123,                 0.5683,                 1.0343,             0.00082067,             0.00082067,             0.00082067
                     45,                0.94827,                 0.5836,                 1.0151,                0.86857,                0.66306,                0.77464,                0.49726,                0.92717,                0.56379,                 1.0302,             0.00080653,             0.00080653,             0.00080653
                     46,                0.94849,                 0.5826,                 1.0218,                0.87128,                0.65807,                0.77096,                0.49864,                0.92951,                 0.5651,                 1.0318,             0.00079238,             0.00079238,             0.00079238
                     47,                0.93666,                0.57213,                 1.0126,                0.85288,                0.67964,                0.78113,                0.50781,                0.91817,                0.56571,                 1.0251,             0.00077823,             0.00077823,             0.00077823
                     48,                0.94133,                0.57957,                 1.0161,                0.83753,                0.69118,                0.78158,                0.50894,                0.92203,                0.56149,                 1.0264,             0.00076409,             0.00076409,             0.00076409
                     49,                0.93608,                0.57242,                 1.0115,                0.84509,                0.67746,                0.77883,                0.50356,                0.91465,                0.55793,                 1.0252,             0.00074994,             0.00074994,             0.00074994
                     50,                0.92954,                 0.5688,                 1.0135,                0.85523,                0.67683,                0.78121,                0.51229,                0.91123,                0.54714,                 1.0215,             0.00073579,             0.00073579,             0.00073579
                     51,                0.92909,                0.56969,                 1.0112,                0.84695,                 0.6838,                 0.7829,                0.51509,                0.90363,                0.55154,                 1.0192,             0.00072164,             0.00072164,             0.00072164
                     52,                0.92462,                0.56488,                 1.0083,                0.85564,                0.67295,                0.77895,                0.50932,                0.91091,                0.54656,                 1.0233,              0.0007075,              0.0007075,              0.0007075
