                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0582,                0.67878,                 1.0552,                0.76758,                0.62179,                0.69571,                0.41111,                 1.0185,                0.63946,                 1.0521,             0.00096215,             0.00096215,             0.00096215
                     35,                   1.05,                0.66737,                 1.0525,                0.77762,                0.61326,                0.70098,                0.42692,                 1.0027,                0.63009,                 1.0481,               0.000948,               0.000948,               0.000948
                     36,                 1.0368,                0.66443,                 1.0438,                0.80922,                0.60591,                0.71055,                0.43541,                 1.0102,                0.63054,                 1.0512,             0.00093385,             0.00093385,             0.00093385
                     37,                   1.04,                0.66277,                 1.0474,                0.80545,                0.61304,                0.70839,                 0.4373,                0.99889,                0.62553,                 1.0429,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.0314,                0.66279,                 1.0422,                0.79312,                0.62253,                  0.715,                0.44141,                 1.0012,                0.63436,                 1.0425,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.0212,                0.64727,                 1.0391,                0.77047,                0.62781,                0.70746,                0.43763,                 0.9898,                 0.6126,                 1.0413,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.0235,                0.65279,                 1.0379,                0.80694,                0.62854,                0.72452,                0.44333,                0.98666,                0.60877,                 1.0386,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.0198,                0.64511,                 1.0322,                0.80106,                0.63588,                0.72736,                0.45522,                0.97707,                0.60109,                 1.0323,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.0161,                0.64374,                 1.0359,                0.78778,                0.64191,                0.73266,                0.45892,                0.97608,                0.59652,                 1.0353,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.0052,                0.63614,                 1.0287,                0.79202,                 0.6459,                  0.738,                0.45207,                 1.0004,                0.60352,                 1.0396,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.0001,                0.63115,                 1.0212,                0.82044,                 0.6473,                0.75036,                0.46925,                0.96216,                0.59078,                 1.0272,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.0038,                0.63061,                 1.0284,                 0.8291,                0.63685,                0.73729,                 0.4616,                0.96839,                0.59145,                 1.0288,             0.00080653,             0.00080653,             0.00080653
                     46,                0.99152,                0.62582,                 1.0249,                0.83627,                0.64949,                0.75569,                0.47193,                 0.9536,                0.58298,                 1.0235,             0.00079238,             0.00079238,             0.00079238
                     47,                0.98769,                0.61932,                 1.0194,                0.78673,                0.65819,                0.74588,                0.46543,                0.96056,                0.58079,                 1.0243,             0.00077823,             0.00077823,             0.00077823
                     48,                0.97895,                0.61309,                 1.0182,                0.80146,                0.67491,                0.75787,                 0.4752,                0.96278,                0.57735,                 1.0268,             0.00076409,             0.00076409,             0.00076409
                     49,                 0.9796,                0.61792,                 1.0214,                0.84558,                0.66318,                0.75915,                0.47771,                0.94619,                0.57653,                 1.0203,             0.00074994,             0.00074994,             0.00074994
                     50,                0.98523,                0.61619,                 1.0208,                0.85169,                0.65928,                0.76306,                0.48747,                0.94395,                 0.5726,                 1.0168,             0.00073579,             0.00073579,             0.00073579
                     51,                0.97222,                0.60747,                 1.0115,                0.84249,                0.66981,                 0.7683,                0.49252,                0.93847,                0.56534,                 1.0149,             0.00072164,             0.00072164,             0.00072164
                     52,                0.96879,                0.60682,                 1.0131,                0.82027,                0.68641,                0.77288,                 0.4928,                0.93997,                0.56179,                 1.0141,              0.0007075,              0.0007075,              0.0007075
                     53,                0.95457,                0.59466,                 1.0052,                0.83426,                0.67973,                0.77111,                0.49128,                0.93971,                0.56359,                 1.0159,             0.00069335,             0.00069335,             0.00069335
                     54,                0.96077,                0.59952,                 1.0116,                 0.8337,                0.67763,                0.77142,                0.48785,                0.93983,                0.56239,                  1.016,              0.0006792,              0.0006792,              0.0006792
                     55,                 0.9511,                 0.5922,                 1.0037,                0.85143,                0.68738,                0.78094,                0.50109,                 0.9264,                0.55371,                 1.0093,             0.00066506,             0.00066506,             0.00066506
                     56,                0.94693,                0.58814,                      1,                0.82718,                 0.6919,                0.77383,                0.49484,                0.93021,                0.55905,                 1.0104,             0.00065091,             0.00065091,             0.00065091
                     57,                0.94576,                0.58476,                 1.0006,                 0.8371,                 0.6975,                0.77845,                0.50316,                0.91993,                0.55186,                 1.0077,             0.00063676,             0.00063676,             0.00063676
                     58,                0.94438,                0.58515,                0.99998,                0.84177,                 0.6916,                0.78271,                0.49691,                0.92939,                0.54931,                 1.0117,             0.00062262,             0.00062262,             0.00062262
                     59,                0.93543,                0.57345,                0.99862,                0.86714,                 0.6747,                0.77781,                0.49369,                0.92789,                0.54673,                 1.0108,             0.00060847,             0.00060847,             0.00060847
                     60,                0.93682,                0.58018,                 1.0007,                0.85634,                0.69906,                0.78916,                0.50527,                0.92294,                0.54385,                 1.0082,             0.00059432,             0.00059432,             0.00059432
                     61,                0.92977,                0.57334,                0.99711,                0.85251,                0.69713,                0.78793,                0.51238,                0.90659,                0.54089,                 1.0033,             0.00058017,             0.00058017,             0.00058017
                     62,                0.92448,                0.56921,                0.99405,                0.82657,                 0.6886,                  0.785,                0.50094,                0.91242,                0.54745,                  1.003,             0.00056603,             0.00056603,             0.00056603
                     63,                0.92332,                0.56846,                0.98898,                0.82853,                0.71144,                0.79016,                0.50505,                0.90794,                0.54239,                 1.0003,             0.00055188,             0.00055188,             0.00055188
                     64,                0.91711,                0.56792,                0.99173,                0.85617,                0.69489,                0.79036,                0.50416,                0.90682,                 0.5368,                 1.0017,             0.00053773,             0.00053773,             0.00053773
                     65,                0.92391,                0.56845,                0.99659,                0.85986,                0.69332,                0.79543,                0.51724,                0.90621,                0.53482,                 1.0003,             0.00052359,             0.00052359,             0.00052359
                     66,                0.91543,                0.56803,                0.98889,                 0.8717,                0.68647,                 0.7893,                0.50856,                 0.9054,                0.53459,                0.99988,             0.00050944,             0.00050944,             0.00050944
                     67,                0.91109,                0.56115,                0.98919,                 0.8736,                0.69262,                0.79846,                0.51722,                0.90564,                0.53386,                 1.0015,             0.00049529,             0.00049529,             0.00049529
                     68,                0.91617,                0.57202,                0.99041,                 0.8656,                 0.7001,                0.79944,                0.51766,                0.90157,                0.53584,                0.99882,             0.00048114,             0.00048114,             0.00048114
                     69,                0.90998,                  0.562,                0.98255,                0.85532,                0.70739,                0.79771,                0.51796,                0.90192,                0.53198,                0.99665,               0.000467,               0.000467,               0.000467
                     70,                0.90673,                0.55972,                0.98074,                0.88695,                0.68419,                0.79809,                0.52213,                0.89889,                0.53212,                0.99375,             0.00045285,             0.00045285,             0.00045285
                     71,                0.90632,                0.55794,                0.98051,                 0.8829,                0.68384,                0.79663,                 0.5153,                0.89371,                0.53414,                0.99246,              0.0004387,              0.0004387,              0.0004387
                     72,                0.90364,                0.55923,                0.98111,                0.86216,                0.69949,                 0.7986,                0.51909,                0.90392,                0.53348,                 0.9949,             0.00042456,             0.00042456,             0.00042456
                     73,                0.90054,                0.55759,                0.97856,                0.89547,                0.68236,                0.79842,                0.51842,                0.89932,                0.53307,                0.99297,             0.00041041,             0.00041041,             0.00041041
                     74,                0.90244,                0.55564,                 0.9776,                0.87696,                0.68927,                 0.8025,                0.52602,                0.89349,                0.53104,                0.98925,             0.00039626,             0.00039626,             0.00039626
                     75,                0.89604,                0.55528,                0.97294,                0.87663,                0.70042,                0.80691,                0.53236,                0.89169,                0.52977,                0.98894,             0.00038211,             0.00038211,             0.00038211
                     76,                0.89513,                0.55159,                0.97293,                0.86853,                0.70779,                0.80639,                0.52978,                0.88852,                0.52787,                0.98918,             0.00036797,             0.00036797,             0.00036797
                     77,                0.88471,                0.54951,                0.96995,                0.88701,                0.70222,                0.81144,                0.53272,                0.88553,                0.52661,                0.98824,             0.00035382,             0.00035382,             0.00035382
