                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.075,                0.69169,                 1.0648,                0.70348,                0.59031,                 0.6598,                0.39555,                 1.0469,                0.65383,                  1.069,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.0646,                0.68234,                 1.0642,                0.75439,                0.59007,                0.67647,                0.40107,                 1.0561,                0.65897,                 1.0735,               0.000948,               0.000948,               0.000948
                     36,                  1.054,                0.67506,                 1.0551,                0.68633,                0.55651,                0.63007,                0.36223,                 1.1469,                0.76435,                 1.1052,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.0517,                0.67052,                 1.0583,                0.75835,                0.58797,                0.67905,                0.41484,                 1.0294,                0.64061,                 1.0602,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.0455,                0.67564,                 1.0534,                0.75073,                0.59937,                0.68326,                0.41733,                 1.0311,                 0.6375,                 1.0615,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.0325,                0.66184,                 1.0477,                0.70384,                0.58284,                0.64331,                0.36995,                 1.1199,                0.71804,                 1.0951,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.0357,                0.66277,                  1.045,                0.75774,                0.59917,                0.68656,                0.42171,                 1.0117,                0.62658,                 1.0521,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.0372,                  0.655,                 1.0434,                0.77396,                0.55904,                0.66269,                0.39107,                 1.0615,                0.65457,                 1.0741,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.0326,                 0.6548,                 1.0467,                0.69655,                0.54965,                0.61528,                0.35354,                 1.1477,                0.76469,                  1.099,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.0245,                0.64432,                 1.0396,                0.78135,                0.60904,                0.69658,                0.40917,                 1.0608,                 0.6484,                 1.0624,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.0156,                0.64317,                 1.0311,                0.77057,                  0.647,                0.72265,                0.45191,                0.98646,                 0.5985,                 1.0434,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.0153,                0.63906,                 1.0349,                0.80897,                0.64018,                0.73318,                0.45779,                0.99034,                0.60371,                 1.0414,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.0061,                0.63658,                 1.0332,                0.81031,                0.64344,                0.73225,                0.45416,                0.98856,                0.59558,                 1.0424,             0.00079238,             0.00079238,             0.00079238
