                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0219,                0.63796,                 1.0685,                0.78912,                0.62097,                0.71229,                0.44693,                0.98112,                0.63238,                 1.0755,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.0059,                0.63031,                 1.0601,                0.82123,                0.61688,                 0.7166,                0.45849,                0.96886,                0.59919,                 1.0649,               0.000948,               0.000948,               0.000948
                     36,                 1.0039,                0.62772,                 1.0609,                0.81437,                 0.6221,                0.72063,                 0.4572,                 0.9651,                0.62157,                 1.0607,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.0063,                0.62226,                 1.0601,                0.79905,                0.63457,                0.72341,                0.45447,                 0.9716,                0.61186,                  1.069,              0.0009197,              0.0009197,              0.0009197
                     38,                0.98996,                0.61127,                 1.0557,                0.85038,                0.62211,                0.73126,                 0.4568,                0.97359,                 0.5942,                 1.0626,             0.00090556,             0.00090556,             0.00090556
                     39,                0.98232,                0.61439,                 1.0518,                0.82611,                0.62954,                0.73261,                0.46627,                0.95546,                0.59063,                 1.0551,             0.00089141,             0.00089141,             0.00089141
                     40,                0.98444,                0.60639,                 1.0485,                0.84709,                0.62258,                0.73461,                0.47203,                0.95521,                0.58556,                 1.0558,             0.00087726,             0.00087726,             0.00087726
                     41,                0.98314,                0.60465,                 1.0459,                0.81587,                0.64928,                0.74049,                0.47085,                0.94128,                0.59463,                 1.0531,             0.00086312,             0.00086312,             0.00086312
                     42,                0.97013,                0.60026,                 1.0441,                0.79102,                 0.6593,                0.74417,                0.48247,                0.93962,                0.58573,                 1.0462,             0.00084897,             0.00084897,             0.00084897
                     43,                0.97297,                 0.5975,                 1.0438,                0.79834,                  0.654,                0.74542,                0.47848,                0.93087,                0.56279,                 1.0464,             0.00083482,             0.00083482,             0.00083482
