                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.111,                0.72774,                 1.0792,                0.74953,                0.56165,                0.64244,                0.37934,                 1.0806,                0.70143,                 1.0856,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.1033,                0.71931,                 1.0798,                0.77265,                0.57488,                0.66262,                0.39547,                 1.0597,                0.68377,                 1.0737,               0.000948,               0.000948,               0.000948
                     36,                 1.0916,                  0.714,                 1.0689,                0.75779,                0.59412,                 0.6726,                 0.3996,                 1.0572,                0.67219,                 1.0776,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.0958,                0.71316,                 1.0759,                0.73927,                0.59485,                0.67996,                0.41314,                 1.0354,                0.65476,                 1.0641,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.0902,                 0.7117,                 1.0704,                0.76057,                0.59643,                0.68082,                0.41076,                 1.0457,                 0.6594,                 1.0684,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.0741,                0.69841,                 1.0634,                0.77177,                0.59476,                 0.6848,                0.41158,                 1.0277,                0.65075,                 1.0613,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.0844,                0.71014,                 1.0632,                0.72347,                0.60537,                0.67717,                0.40614,                 1.0363,                0.66429,                 1.0627,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.0835,                0.70295,                 1.0582,                0.76979,                  0.609,                0.69321,                0.41665,                 1.0322,                0.65204,                 1.0594,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.0787,                 0.7042,                 1.0613,                0.76785,                0.59476,                0.69077,                0.42023,                 1.0268,                0.65164,                 1.0564,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.0675,                0.69788,                 1.0538,                0.79798,                0.59246,                0.69421,                0.41955,                 1.0436,                0.66032,                 1.0614,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.0675,                0.69346,                 1.0451,                0.78548,                0.60213,                0.69144,                0.41646,                 1.0372,                0.65913,                 1.0545,             0.00082067,             0.00082067,             0.00082067
                     45,                  1.072,                0.69368,                  1.051,                0.81373,                0.61188,                0.71229,                0.43241,                 1.0052,                0.63559,                 1.0466,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.0575,                0.68932,                 1.0472,                0.78225,                0.61694,                0.71056,                0.43031,                 1.0221,                0.64378,                  1.051,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.0518,                0.67958,                 1.0395,                0.79783,                0.61719,                0.70983,                0.43661,                 1.0143,                0.62887,                  1.046,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.0485,                0.68177,                 1.0422,                0.80192,                0.62068,                0.70499,                0.43098,                 1.0134,                 0.6352,                 1.0459,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.0467,                0.68137,                 1.0411,                0.80884,                 0.6235,                0.72088,                0.44324,                      1,                0.62583,                 1.0386,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.0519,                0.68046,                 1.0404,                0.81535,                0.62486,                0.72799,                0.44461,                 1.0091,                 0.6283,                 1.0415,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.0455,                0.67655,                 1.0347,                0.83341,                0.63229,                0.73065,                0.44946,                 1.0004,                 0.6212,                 1.0388,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.0361,                0.66964,                  1.033,                0.81937,                0.62785,                0.73002,                 0.4537,                0.99407,                0.61722,                 1.0346,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.0277,                0.65752,                 1.0251,                0.82793,                0.61978,                0.72047,                0.44002,                0.99724,                0.62734,                 1.0362,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.0311,                0.66296,                 1.0312,                0.83678,                0.63247,                0.72734,                0.44607,                0.99396,                0.61367,                  1.035,              0.0006792,              0.0006792,              0.0006792
                     55,                  1.026,                0.66163,                 1.0245,                  0.836,                0.63388,                0.73437,                0.45611,                0.98651,                0.61485,                 1.0315,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.0184,                0.65097,                  1.021,                0.81962,                0.65413,                0.74273,                  0.462,                0.98437,                0.60107,                 1.0312,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.0181,                0.65126,                 1.0195,                0.81994,                0.63461,                0.73243,                0.45593,                0.97596,                0.60529,                 1.0278,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.0146,                0.65018,                 1.0208,                0.83805,                0.63157,                0.73805,                0.45758,                  0.977,                0.60671,                 1.0258,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.0023,                0.64032,                 1.0157,                 0.8106,                0.62736,                0.73271,                0.44958,                0.99165,                0.60902,                 1.0308,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.0114,                0.64504,                 1.0213,                0.84241,                0.65603,                0.74909,                0.46674,                0.96636,                0.59186,                 1.0207,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.0015,                0.63693,                 1.0155,                0.84981,                 0.6312,                0.74164,                0.46369,                0.96787,                0.59515,                 1.0241,             0.00058017,             0.00058017,             0.00058017
                     62,                0.99749,                 0.6334,                 1.0131,                0.82957,                0.65095,                0.74582,                0.46636,                0.96405,                0.59265,                 1.0189,             0.00056603,             0.00056603,             0.00056603
                     63,                 0.9931,                0.63186,                 1.0076,                0.85072,                0.65004,                0.75555,                0.47196,                0.96202,                0.58797,                  1.017,             0.00055188,             0.00055188,             0.00055188
                     64,                0.98597,                0.62979,                 1.0083,                0.84548,                0.64415,                0.75534,                 0.4744,                0.95793,                0.58718,                 1.0163,             0.00053773,             0.00053773,             0.00053773
                     65,                0.98943,                0.63053,                 1.0122,                0.83435,                0.64476,                0.74921,                0.46659,                  0.966,                0.59253,                 1.0196,             0.00052359,             0.00052359,             0.00052359
                     66,                0.98413,                0.62662,                 1.0087,                  0.822,                0.66276,                0.74982,                0.47312,                0.95577,                0.58646,                 1.0151,             0.00050944,             0.00050944,             0.00050944
                     67,                0.97836,                0.62217,                  1.007,                0.83251,                0.65269,                0.75337,                0.47502,                0.95396,                0.58833,                 1.0165,             0.00049529,             0.00049529,             0.00049529
                     68,                0.98208,                0.63002,                 1.0102,                0.82736,                0.66248,                0.75607,                 0.4786,                0.95487,                0.58474,                 1.0163,             0.00048114,             0.00048114,             0.00048114
                     69,                0.97451,                0.61779,                 1.0015,                0.85189,                0.65662,                 0.7606,                0.47785,                0.95376,                0.57899,                 1.0137,               0.000467,               0.000467,               0.000467
                     70,                0.97539,                0.61597,                 1.0015,                0.86397,                0.64402,                 0.7566,                0.48179,                0.94675,                0.57665,                 1.0119,             0.00045285,             0.00045285,             0.00045285
                     71,                0.96923,                0.61251,                0.99957,                0.85467,                0.65129,                0.76096,                0.48065,                0.94651,                0.57973,                 1.0123,              0.0004387,              0.0004387,              0.0004387
                     72,                0.96657,                0.61166,                 1.0002,                0.83864,                0.66907,                0.76773,                0.48501,                0.94259,                0.57366,                 1.0103,             0.00042456,             0.00042456,             0.00042456
                     73,                0.96129,                0.60831,                0.99629,                0.84049,                0.66099,                 0.7632,                0.48326,                0.94239,                0.57714,                 1.0104,             0.00041041,             0.00041041,             0.00041041
                     74,                0.96192,                0.60649,                0.99675,                 0.8508,                0.64348,                0.76264,                0.48514,                0.94017,                0.57542,                 1.0091,             0.00039626,             0.00039626,             0.00039626
                     75,                0.95522,                0.60163,                0.99174,                0.83829,                0.66189,                0.76513,                0.48761,                0.94099,                0.57014,                  1.009,             0.00038211,             0.00038211,             0.00038211
                     76,                0.94972,                0.59604,                0.99096,                0.85217,                0.65868,                0.76204,                0.48536,                0.93976,                0.57038,                 1.0079,             0.00036797,             0.00036797,             0.00036797
                     77,                0.94738,                0.59592,                0.98989,                0.83133,                0.66887,                0.76637,                 0.4881,                0.93683,                0.56955,                 1.0068,             0.00035382,             0.00035382,             0.00035382
                     78,                0.95093,                0.59606,                0.99247,                0.84364,                0.66531,                0.76872,                 0.4865,                 0.9382,                0.56408,                 1.0083,             0.00033967,             0.00033967,             0.00033967
                     79,                0.94204,                0.59487,                0.99038,                0.84348,                 0.6687,                0.76963,                 0.4895,                0.93458,                0.56606,                 1.0061,             0.00032553,             0.00032553,             0.00032553
                     80,                0.94419,                0.59177,                0.98912,                0.86454,                0.65105,                 0.7683,                0.48918,                0.92923,                0.56408,                 1.0034,             0.00031138,             0.00031138,             0.00031138
                     81,                0.93668,                0.58805,                0.98682,                0.85541,                0.66287,                0.76999,                0.49233,                0.92839,                0.55969,                 1.0043,             0.00029723,             0.00029723,             0.00029723
                     82,                0.93629,                0.58867,                0.98736,                0.84742,                0.66076,                 0.7711,                0.49541,                 0.9236,                0.56094,                 1.0025,             0.00028308,             0.00028308,             0.00028308
                     83,                0.93084,                0.58422,                0.98413,                0.85375,                0.66654,                0.77483,                0.49735,                0.92075,                0.55902,                0.99998,             0.00026894,             0.00026894,             0.00026894
                     84,                0.93042,                0.58471,                0.98653,                0.85318,                0.66811,                0.77091,                 0.4919,                0.92656,                0.56167,                 1.0024,             0.00025479,             0.00025479,             0.00025479
                     85,                0.92245,                0.57824,                0.98619,                 0.8592,                0.65075,                0.77238,                 0.4922,                0.92964,                0.56167,                 1.0028,             0.00024064,             0.00024064,             0.00024064
                     86,                0.92192,                0.57479,                0.98269,                0.84773,                0.67291,                0.77318,                 0.4923,                0.92634,                0.56133,                 1.0023,              0.0002265,              0.0002265,              0.0002265
                     87,                0.92542,                0.57966,                0.98432,                0.84531,                0.66988,                0.77425,                0.49571,                0.92697,                0.55977,                 1.0018,             0.00021235,             0.00021235,             0.00021235
                     88,                0.92019,                0.57487,                0.98023,                0.85976,                0.66004,                0.77326,                0.49598,                0.92496,                0.55956,                 1.0005,              0.0001982,              0.0001982,              0.0001982
                     89,                 0.9126,                 0.5733,                0.97941,                0.85891,                 0.6623,                0.77352,                0.49495,                0.92495,                0.55786,                 1.0007,             0.00018406,             0.00018406,             0.00018406
                     90,                 0.8947,                0.55328,                0.96489,                0.83993,                0.66888,                0.77617,                0.49776,                0.91594,                0.54989,                0.99647,             0.00016991,             0.00016991,             0.00016991
                     91,                0.87715,                0.54385,                0.96216,                0.81304,                0.68786,                0.77602,                0.50312,                0.91104,                0.54919,                 0.9945,             0.00015576,             0.00015576,             0.00015576
                     92,                0.87204,                0.53892,                0.95899,                0.84248,                0.66797,                0.77532,                  0.503,                0.90554,                 0.5469,                0.99207,             0.00014161,             0.00014161,             0.00014161
                     93,                0.86841,                0.53277,                0.95635,                0.84659,                 0.6762,                0.77995,                0.50666,                0.90355,                 0.5442,                 0.9925,             0.00012747,             0.00012747,             0.00012747
                     94,                0.86573,                0.53114,                0.95758,                0.84492,                0.68533,                0.78258,                0.50968,                0.90116,                0.54218,                0.99096,             0.00011332,             0.00011332,             0.00011332
                     95,                 0.8589,                0.52854,                0.95813,                0.84282,                0.68842,                 0.7847,                0.51173,                 0.8998,                0.54113,                0.99082,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.85597,                0.52506,                0.95532,                0.84559,                0.67845,                0.78242,                 0.5098,                0.89756,                0.54085,                0.98996,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 0.8567,                0.52399,                  0.955,                 0.8397,                0.68308,                0.78325,                0.51115,                0.89813,                0.54045,                0.98932,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.85001,                0.51962,                0.95207,                0.84707,                0.68199,                0.78299,                0.51053,                0.89821,                0.53916,                0.98945,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.85133,                  0.522,                0.95126,                0.86059,                0.67456,                0.78507,                 0.5134,                0.89681,                0.53954,                0.98833,             4.2584e-05,             4.2584e-05,             4.2584e-05
